Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
E0,2009-08-15,Chelsea,Hull,2.0,1.0,H,1.0,1.0,D,A Wiley,26.0,7.0,12.0,3.0,13.0,15.0,12.0,4.0,1.0,2.0,0.0,0.0
E0,2009-08-29,Chelsea,Burnley,3.0,0.0,H,1.0,0.0,H,M Clattenburg,27.0,3.0,17.0,0.0,7.0,5.0,10.0,1.0,0.0,1.0,0.0,0.0
E0,2009-09-20,Chelsea,Tottenham,3.0,0.0,H,1.0,0.0,H,H Webb,25.0,9.0,15.0,4.0,7.0,9.0,11.0,3.0,0.0,2.0,0.0,0.0
E0,2009-10-04,Chelsea,Liverpool,2.0,0.0,H,0.0,0.0,D,M Atkinson,12.0,12.0,8.0,3.0,14.0,17.0,5.0,8.0,1.0,1.0,0.0,0.0
E0,2009-10-24,Chelsea,Blackburn,5.0,0.0,H,1.0,0.0,H,A Wiley,26.0,5.0,15.0,2.0,8.0,10.0,8.0,0.0,0.0,1.0,0.0,0.0
E0,2009-11-08,Chelsea,Man United,1.0,0.0,H,0.0,0.0,D,Mn Atkinson,12.0,21.0,9.0,10.0,13.0,15.0,0.0,7.0,3.0,3.0,0.0,0.0
E0,2009-11-21,Chelsea,Wolves,4.0,0.0,H,3.0,0.0,H,L Mason,23.0,4.0,14.0,3.0,4.0,14.0,5.0,6.0,0.0,2.0,0.0,0.0
E0,2009-12-12,Chelsea,Everton,3.0,3.0,D,2.0,2.0,D,P Dowd,25.0,10.0,13.0,7.0,13.0,17.0,7.0,1.0,0.0,1.0,0.0,0.0
E0,2009-12-16,Chelsea,Portsmouth,2.0,1.0,H,1.0,0.0,H,M Clattenburg,21.0,7.0,8.0,3.0,11.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0
E0,2009-12-28,Chelsea,Fulham,2.0,1.0,H,0.0,1.0,A,A Marriner,18.0,3.0,11.0,3.0,9.0,13.0,10.0,6.0,1.0,1.0,0.0,0.0
E0,2010-01-16,Chelsea,Sunderland,7.0,2.0,H,4.0,0.0,H,C Foy,23.0,7.0,13.0,3.0,4.0,10.0,15.0,1.0,0.0,1.0,0.0,0.0
E0,2010-01-27,Chelsea,Birmingham,3.0,0.0,H,2.0,0.0,H,S Bennett,25.0,5.0,17.0,3.0,11.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0
E0,2010-02-07,Chelsea,Arsenal,2.0,0.0,H,2.0,0.0,H,M Dean,9.0,14.0,3.0,6.0,11.0,14.0,4.0,8.0,2.0,2.0,0.0,0.0
E0,2010-02-27,Chelsea,Man City,2.0,4.0,A,1.0,1.0,D,M Dean,23.0,8.0,13.0,6.0,21.0,12.0,3.0,2.0,3.0,1.0,2.0,0.0
E0,2010-03-13,Chelsea,West Ham,4.0,1.0,H,1.0,1.0,D,M Clattenburg,22.0,4.0,15.0,2.0,13.0,10.0,11.0,1.0,0.0,1.0,0.0,0.0
E0,2010-03-27,Chelsea,Aston Villa,7.0,1.0,H,2.0,1.0,H,P Walton,13.0,7.0,11.0,5.0,12.0,5.0,8.0,6.0,3.0,2.0,0.0,0.0
E0,2010-04-13,Chelsea,Bolton,1.0,0.0,H,1.0,0.0,H,L Probert,18.0,7.0,8.0,2.0,13.0,22.0,5.0,2.0,1.0,4.0,0.0,0.0
E0,2010-04-25,Chelsea,Stoke,7.0,0.0,H,3.0,0.0,H,S Bennett,29.0,3.0,18.0,2.0,14.0,12.0,7.0,0.0,0.0,3.0,0.0,0.0
E0,2010-05-09,Chelsea,Wigan,8.0,0.0,H,2.0,0.0,H,M Atkinson,17.0,4.0,10.0,3.0,14.0,9.0,2.0,3.0,2.0,2.0,0.0,1.0
E0,2009-08-18,Sunderland,Chelsea,1.0,3.0,A,1.0,0.0,H,S Bennett,4.0,20.0,3.0,9.0,14.0,10.0,1.0,14.0,2.0,2.0,0.0,0.0
E0,2009-08-23,Fulham,Chelsea,0.0,2.0,A,0.0,1.0,A,A Marriner,4.0,12.0,1.0,4.0,11.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0
E0,2009-09-12,Stoke,Chelsea,1.0,2.0,A,1.0,1.0,D,M Dean,4.0,18.0,2.0,10.0,13.0,11.0,4.0,14.0,3.0,3.0,0.0,0.0
E0,2009-09-26,Wigan,Chelsea,3.0,1.0,H,1.0,0.0,H,P Dowd,15.0,14.0,9.0,8.0,11.0,11.0,4.0,7.0,1.0,2.0,0.0,1.0
E0,2009-10-17,Aston Villa,Chelsea,2.0,1.0,H,1.0,1.0,D,K Friend,7.0,21.0,5.0,13.0,19.0,13.0,6.0,9.0,2.0,1.0,0.0,0.0
E0,2009-10-31,Bolton,Chelsea,0.0,4.0,A,0.0,1.0,A,P Walton,15.0,27.0,6.0,17.0,9.0,7.0,8.0,10.0,1.0,1.0,1.0,0.0
E0,2009-11-29,Arsenal,Chelsea,0.0,3.0,A,0.0,2.0,A,A Marriner,5.0,7.0,3.0,5.0,17.0,12.0,4.0,3.0,2.0,2.0,0.0,0.0
E0,2009-12-05,Man City,Chelsea,2.0,1.0,H,1.0,1.0,D,H Webb,13.0,10.0,8.0,6.0,12.0,17.0,9.0,6.0,1.0,6.0,0.0,0.0
E0,2009-12-20,West Ham,Chelsea,1.0,1.0,D,1.0,0.0,H,M Dean,6.0,20.0,5.0,6.0,17.0,16.0,5.0,5.0,4.0,3.0,0.0,0.0
E0,2009-12-26,Birmingham,Chelsea,0.0,0.0,D,0.0,0.0,D,P Walton,11.0,27.0,4.0,12.0,6.0,17.0,7.0,11.0,1.0,2.0,0.0,1.0
E0,2010-01-30,Burnley,Chelsea,1.0,2.0,A,0.0,1.0,A,P Dowd,5.0,16.0,3.0,9.0,12.0,12.0,2.0,9.0,1.0,1.0,0.0,0.0
E0,2010-02-02,Hull,Chelsea,1.0,1.0,D,1.0,1.0,D,M Clattenburg,7.0,21.0,3.0,11.0,9.0,12.0,6.0,8.0,1.0,3.0,0.0,0.0
E0,2010-02-10,Everton,Chelsea,2.0,1.0,H,1.0,1.0,D,A Wiley,7.0,14.0,5.0,5.0,13.0,15.0,5.0,6.0,1.0,2.0,0.0,0.0
E0,2010-02-20,Wolves,Chelsea,0.0,2.0,A,0.0,1.0,A,K Friend,11.0,7.0,7.0,2.0,12.0,14.0,1.0,5.0,0.0,1.0,0.0,0.0
E0,2010-03-21,Blackburn,Chelsea,1.0,1.0,D,0.0,1.0,A,S Bennett,8.0,14.0,4.0,8.0,10.0,9.0,3.0,11.0,0.0,1.0,0.0,0.0
E0,2010-03-24,Portsmouth,Chelsea,0.0,5.0,A,0.0,1.0,A,L Mason,10.0,20.0,6.0,11.0,11.0,11.0,1.0,6.0,3.0,2.0,0.0,0.0
E0,2010-04-03,Man United,Chelsea,1.0,2.0,A,0.0,1.0,A,M Dean,9.0,11.0,3.0,5.0,14.0,11.0,3.0,3.0,3.0,1.0,0.0,0.0
E0,2010-04-17,Tottenham,Chelsea,2.0,1.0,H,2.0,0.0,H,P Dowd,20.0,9.0,10.0,6.0,7.0,14.0,13.0,4.0,2.0,4.0,0.0,1.0
E0,2010-05-02,Liverpool,Chelsea,0.0,2.0,A,0.0,1.0,A,A Wiley,7.0,15.0,2.0,11.0,7.0,7.0,9.0,5.0,1.0,2.0,0.0,0.0
E0,14/08/10,Chelsea,West Brom,6.0,0.0,H,2.0,0.0,H,M Clattenburg,18.0,10.0,13.0,4.0,10.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0
E0,28/08/10,Chelsea,Stoke,2.0,0.0,H,1.0,0.0,H,M Atkinson,15.0,9.0,6.0,3.0,5.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0
E0,19/09/10,Chelsea,Blackpool,4.0,0.0,H,4.0,0.0,H,M Clattenburg,27.0,11.0,15.0,4.0,7.0,4.0,9.0,6.0,1.0,2.0,0.0,0.0
E0,03/10/10,Chelsea,Arsenal,2.0,0.0,H,1.0,0.0,H,M Dean,11.0,13.0,6.0,5.0,7.0,12.0,10.0,10.0,1.0,1.0,0.0,0.0
E0,23/10/10,Chelsea,Wolves,2.0,0.0,H,1.0,0.0,H,L Probert,17.0,12.0,10.0,9.0,8.0,8.0,8.0,8.0,1.0,2.0,0.0,0.0
E0,10/11/10,Chelsea,Fulham,1.0,0.0,H,1.0,0.0,H,M Atkinson,19.0,5.0,10.0,3.0,14.0,15.0,4.0,4.0,2.0,0.0,1.0,0.0
E0,14/11/10,Chelsea,Sunderland,0.0,3.0,A,0.0,1.0,A,C Foy,14.0,19.0,7.0,9.0,9.0,13.0,6.0,3.0,1.0,2.0,0.0,0.0
E0,04/12/10,Chelsea,Everton,1.0,1.0,D,1.0,0.0,H,L Probert,12.0,16.0,5.0,7.0,7.0,11.0,7.0,2.0,1.0,4.0,0.0,0.0
E0,29/12/10,Chelsea,Bolton,1.0,0.0,H,0.0,0.0,D,M Jones,12.0,6.0,7.0,2.0,12.0,24.0,6.0,3.0,1.0,1.0,0.0,0.0
E0,02/01/11,Chelsea,Aston Villa,3.0,3.0,D,1.0,1.0,D,L Mason,15.0,16.0,10.0,10.0,17.0,11.0,9.0,6.0,2.0,7.0,0.0,0.0
E0,15/01/11,Chelsea,Blackburn,2.0,0.0,H,0.0,0.0,D,M Atkinson,27.0,3.0,11.0,2.0,10.0,6.0,14.0,1.0,1.0,0.0,0.0,0.0
E0,06/02/11,Chelsea,Liverpool,0.0,1.0,A,0.0,0.0,D,A Marriner,14.0,7.0,4.0,4.0,9.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0
E0,01/03/11,Chelsea,Man United,2.0,1.0,H,0.0,1.0,A,M Atkinson,17.0,12.0,11.0,7.0,11.0,14.0,10.0,2.0,3.0,2.0,0.0,1.0
E0,20/03/11,Chelsea,Man City,2.0,0.0,H,0.0,0.0,D,C Foy,16.0,5.0,11.0,2.0,16.0,13.0,5.0,1.0,2.0,5.0,0.0,0.0
E0,09/04/11,Chelsea,Wigan,1.0,0.0,H,0.0,0.0,D,H Webb,21.0,11.0,13.0,7.0,11.0,12.0,10.0,5.0,1.0,2.0,0.0,0.0
E0,20/04/11,Chelsea,Birmingham,3.0,1.0,H,2.0,0.0,H,M Jones,17.0,6.0,7.0,3.0,9.0,11.0,7.0,4.0,0.0,1.0,0.0,0.0
E0,23/04/11,Chelsea,West Ham,3.0,0.0,H,1.0,0.0,H,P Dowd,16.0,12.0,11.0,7.0,7.0,13.0,5.0,7.0,1.0,2.0,0.0,0.0
E0,30/04/11,Chelsea,Tottenham,2.0,1.0,H,1.0,1.0,D,A Marriner,16.0,12.0,10.0,7.0,11.0,11.0,6.0,5.0,3.0,1.0,0.0,0.0
E0,15/05/11,Chelsea,Newcastle,2.0,2.0,D,1.0,1.0,D,L Mason,15.0,13.0,7.0,9.0,17.0,13.0,7.0,4.0,4.0,2.0,0.0,0.0
E0,21/08/10,Wigan,Chelsea,0.0,6.0,A,0.0,1.0,A,M Dean,17.0,10.0,12.0,8.0,12.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0
E0,11/09/10,West Ham,Chelsea,1.0,3.0,A,0.0,2.0,A,C Foy,13.0,17.0,7.0,9.0,13.0,10.0,1.0,5.0,2.0,2.0,0.0,0.0
E0,25/09/10,Man City,Chelsea,1.0,0.0,H,0.0,0.0,D,A Marriner,8.0,15.0,6.0,4.0,10.0,12.0,3.0,4.0,2.0,3.0,0.0,0.0
E0,16/10/10,Aston Villa,Chelsea,0.0,0.0,D,0.0,0.0,D,L Mason,11.0,13.0,5.0,6.0,11.0,11.0,9.0,5.0,4.0,3.0,0.0,0.0
E0,30/10/10,Blackburn,Chelsea,1.0,2.0,A,1.0,1.0,D,P Walton,13.0,16.0,6.0,9.0,12.0,14.0,4.0,5.0,2.0,2.0,0.0,0.0
E0,07/11/10,Liverpool,Chelsea,2.0,0.0,H,2.0,0.0,H,H Webb,9.0,11.0,7.0,7.0,15.0,17.0,2.0,5.0,0.0,2.0,0.0,0.0
E0,20/11/10,Birmingham,Chelsea,1.0,0.0,H,1.0,0.0,H,M Halsey,1.0,24.0,1.0,9.0,9.0,2.0,4.0,14.0,2.0,0.0,0.0,0.0
E0,28/11/10,Newcastle,Chelsea,1.0,1.0,D,1.0,1.0,D,A Marriner,5.0,17.0,3.0,13.0,9.0,11.0,6.0,7.0,2.0,1.0,0.0,0.0
E0,12/12/10,Tottenham,Chelsea,1.0,1.0,D,1.0,0.0,H,M Dean,10.0,13.0,3.0,7.0,9.0,13.0,1.0,7.0,2.0,2.0,0.0,0.0
E0,27/12/10,Arsenal,Chelsea,3.0,1.0,H,1.0,0.0,H,M Clattenburg,10.0,10.0,8.0,4.0,12.0,16.0,4.0,6.0,2.0,3.0,0.0,0.0
E0,05/01/11,Wolves,Chelsea,1.0,0.0,H,1.0,0.0,H,M Halsey,3.0,17.0,2.0,8.0,15.0,12.0,4.0,9.0,0.0,1.0,0.0,0.0
E0,24/01/11,Bolton,Chelsea,0.0,4.0,A,0.0,2.0,A,C Foy,11.0,14.0,8.0,11.0,7.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
E0,01/02/11,Sunderland,Chelsea,2.0,4.0,A,2.0,2.0,D,M Halsey,4.0,21.0,3.0,14.0,10.0,10.0,0.0,6.0,1.0,2.0,0.0,0.0
E0,14/02/11,Fulham,Chelsea,0.0,0.0,D,0.0,0.0,D,M Dean,12.0,23.0,8.0,9.0,10.0,13.0,4.0,6.0,2.0,1.0,0.0,0.0
E0,07/03/11,Blackpool,Chelsea,1.0,3.0,A,0.0,1.0,A,M Dean,14.0,18.0,5.0,11.0,5.0,8.0,3.0,13.0,0.0,0.0,0.0,0.0
E0,02/04/11,Stoke,Chelsea,1.0,1.0,D,1.0,1.0,D,P Walton,13.0,20.0,6.0,10.0,9.0,10.0,5.0,12.0,1.0,2.0,0.0,0.0
E0,16/04/11,West Brom,Chelsea,1.0,3.0,A,1.0,3.0,A,L Probert,12.0,19.0,6.0,11.0,7.0,10.0,3.0,5.0,1.0,0.0,0.0,0.0
E0,08/05/11,Man United,Chelsea,2.0,1.0,H,2.0,0.0,H,H Webb,13.0,19.0,8.0,11.0,12.0,14.0,7.0,2.0,2.0,4.0,0.0,0.0
E0,22/05/11,Everton,Chelsea,1.0,0.0,H,0.0,0.0,D,P Walton,11.0,19.0,3.0,9.0,12.0,14.0,6.0,5.0,3.0,2.0,1.0,0.0
E0,20/08/11,Chelsea,West Brom,2.0,1.0,H,0.0,1.0,A,L Mason,22.0,6.0,12.0,4.0,12.0,8.0,7.0,4.0,2.0,4.0,0.0,0.0
E0,27/08/11,Chelsea,Norwich,3.0,1.0,H,1.0,0.0,H,M Jones,16.0,9.0,8.0,6.0,17.0,14.0,8.0,6.0,2.0,2.0,0.0,1.0
E0,24/09/11,Chelsea,Swansea,4.0,1.0,H,2.0,0.0,H,M Dean,15.0,5.0,7.0,4.0,15.0,11.0,1.0,6.0,3.0,3.0,1.0,0.0
E0,15/10/11,Chelsea,Everton,3.0,1.0,H,2.0,0.0,H,M Jones,7.0,9.0,5.0,5.0,13.0,11.0,2.0,2.0,2.0,2.0,0.0,0.0
E0,29/10/11,Chelsea,Arsenal,3.0,5.0,A,2.0,1.0,H,A Marriner,12.0,13.0,10.0,8.0,7.0,18.0,3.0,2.0,2.0,3.0,0.0,0.0
E0,20/11/11,Chelsea,Liverpool,1.0,2.0,A,0.0,1.0,A,L Probert,18.0,9.0,5.0,3.0,13.0,11.0,6.0,5.0,3.0,2.0,0.0,0.0
E0,26/11/11,Chelsea,Wolves,3.0,0.0,H,3.0,0.0,H,L Mason,17.0,7.0,11.0,2.0,10.0,10.0,9.0,2.0,1.0,2.0,0.0,0.0
E0,12/12/11,Chelsea,Man City,2.0,1.0,H,1.0,1.0,D,M Clattenburg,13.0,7.0,7.0,4.0,11.0,18.0,5.0,1.0,4.0,2.0,0.0,1.0
E0,26/12/11,Chelsea,Fulham,1.0,1.0,D,0.0,0.0,D,K Friend,24.0,9.0,15.0,6.0,10.0,12.0,9.0,3.0,1.0,1.0,0.0,0.0
E0,31/12/11,Chelsea,Aston Villa,1.0,3.0,A,1.0,1.0,D,M Halsey,16.0,12.0,5.0,9.0,7.0,13.0,9.0,2.0,1.0,1.0,0.0,0.0
E0,14/01/12,Chelsea,Sunderland,1.0,0.0,H,1.0,0.0,H,P Dowd,21.0,9.0,10.0,4.0,9.0,9.0,8.0,2.0,3.0,1.0,0.0,0.0
E0,05/02/12,Chelsea,Man United,3.0,3.0,D,1.0,0.0,H,H Webb,19.0,14.0,10.0,10.0,14.0,13.0,6.0,6.0,2.0,1.0,0.0,0.0
E0,25/02/12,Chelsea,Bolton,3.0,0.0,H,0.0,0.0,D,M Oliver,25.0,8.0,16.0,1.0,7.0,13.0,14.0,7.0,0.0,1.0,0.0,0.0
E0,10/03/12,Chelsea,Stoke,1.0,0.0,H,0.0,0.0,D,A Marriner,21.0,8.0,11.0,3.0,12.0,15.0,14.0,1.0,1.0,2.0,0.0,1.0
E0,24/03/12,Chelsea,Tottenham,0.0,0.0,D,0.0,0.0,D,M Atkinson,10.0,19.0,5.0,7.0,9.0,11.0,6.0,5.0,1.0,2.0,0.0,0.0
E0,07/04/12,Chelsea,Wigan,2.0,1.0,H,0.0,0.0,D,M Jones,19.0,13.0,10.0,7.0,14.0,11.0,5.0,3.0,2.0,2.0,0.0,0.0
E0,29/04/12,Chelsea,QPR,6.0,1.0,H,4.0,0.0,H,H Webb,25.0,11.0,18.0,7.0,9.0,8.0,8.0,5.0,0.0,1.0,0.0,0.0
E0,02/05/12,Chelsea,Newcastle,0.0,2.0,A,0.0,1.0,A,M Halsey,17.0,12.0,6.0,6.0,9.0,5.0,4.0,4.0,0.0,3.0,0.0,0.0
E0,13/05/12,Chelsea,Blackburn,2.0,1.0,H,2.0,0.0,H,L Mason,18.0,8.0,6.0,5.0,13.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0
E0,14/08/11,Stoke,Chelsea,0.0,0.0,D,0.0,0.0,D,M Halsey,6.0,20.0,3.0,11.0,12.0,12.0,4.0,6.0,2.0,2.0,0.0,0.0
E0,10/09/11,Sunderland,Chelsea,1.0,2.0,A,0.0,1.0,A,L Probert,14.0,16.0,7.0,8.0,7.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0
E0,18/09/11,Man United,Chelsea,3.0,1.0,H,3.0,0.0,H,P Dowd,12.0,20.0,7.0,9.0,11.0,12.0,4.0,10.0,2.0,3.0,0.0,0.0
E0,02/10/11,Bolton,Chelsea,1.0,5.0,A,0.0,4.0,A,P Walton,14.0,21.0,10.0,14.0,10.0,11.0,4.0,5.0,1.0,2.0,0.0,0.0
E0,23/10/11,QPR,Chelsea,1.0,0.0,H,1.0,0.0,H,C Foy,8.0,14.0,3.0,7.0,17.0,17.0,0.0,6.0,2.0,7.0,0.0,2.0
E0,05/11/11,Blackburn,Chelsea,0.0,1.0,A,0.0,0.0,D,M Dean,13.0,12.0,8.0,8.0,12.0,10.0,5.0,8.0,4.0,2.0,0.0,0.0
E0,03/12/11,Newcastle,Chelsea,0.0,3.0,A,0.0,1.0,A,M Dean,16.0,21.0,9.0,13.0,7.0,6.0,6.0,5.0,2.0,3.0,0.0,0.0
E0,17/12/11,Wigan,Chelsea,1.0,1.0,D,0.0,0.0,D,M Atkinson,15.0,10.0,7.0,5.0,8.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0
E0,22/12/11,Tottenham,Chelsea,1.0,1.0,D,1.0,1.0,D,H Webb,16.0,20.0,10.0,10.0,14.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0
E0,02/01/12,Wolves,Chelsea,1.0,2.0,A,0.0,0.0,D,P Walton,9.0,15.0,5.0,10.0,9.0,10.0,0.0,5.0,3.0,2.0,0.0,0.0
E0,21/01/12,Norwich,Chelsea,0.0,0.0,D,0.0,0.0,D,M Clattenburg,5.0,19.0,3.0,9.0,5.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0
E0,31/01/12,Swansea,Chelsea,1.0,1.0,D,1.0,0.0,H,A Marriner,7.0,20.0,5.0,10.0,10.0,19.0,1.0,11.0,2.0,3.0,0.0,1.0
E0,11/02/12,Everton,Chelsea,2.0,0.0,H,1.0,0.0,H,M Jones,10.0,8.0,7.0,7.0,13.0,12.0,2.0,4.0,0.0,3.0,0.0,0.0
E0,03/03/12,West Brom,Chelsea,1.0,0.0,H,0.0,0.0,D,P Dowd,19.0,13.0,11.0,6.0,9.0,10.0,14.0,5.0,3.0,1.0,0.0,0.0
E0,21/03/12,Man City,Chelsea,2.0,1.0,H,0.0,0.0,D,M Dean,20.0,6.0,10.0,5.0,8.0,7.0,11.0,4.0,1.0,2.0,0.0,0.0
E0,31/03/12,Aston Villa,Chelsea,2.0,4.0,A,0.0,1.0,A,L Mason,9.0,12.0,5.0,9.0,13.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0
E0,09/04/12,Fulham,Chelsea,1.0,1.0,D,0.0,1.0,A,M Clattenburg,11.0,12.0,9.0,4.0,5.0,16.0,7.0,11.0,1.0,3.0,0.0,0.0
E0,21/04/12,Arsenal,Chelsea,0.0,0.0,D,0.0,0.0,D,M Dean,13.0,13.0,8.0,7.0,11.0,11.0,7.0,7.0,3.0,4.0,0.0,0.0
